branch_type,depth,key,train_support,train_fraud_count,train_fraud_rate,train_lift,selection_score
p_adic_prefix,2,mobile|credit,18100,2464,0.13613259668508287,3.8708364666725954,78.5912416050769
p_adic_prefix,4,mobile|credit|visa|C,4207,925,0.21987164250059424,6.251898461522262,60.257770556388735
p_adic_prefix,3,mobile|credit|visa,10458,1400,0.13386880856760375,3.806467213375905,58.74261213324056
p_adic_prefix,3,mobile|credit|mastercard,5608,926,0.1651212553495007,4.6951089760535085,52.93669490106832
p_adic_prefix,4,desktop|credit|visa|C,5811,877,0.15092066769919119,4.291325063430751,49.33926799346642
p_adic_prefix,2,desktop|credit,38232,2358,0.06167608286252354,1.7537168648744157,49.188161385963674
p_adic_prefix,4,mobile|credit|mastercard|C,2974,606,0.20376597175521183,5.793944825438572,47.16708240959957
p_adic_prefix,5,desktop|credit|visa|C|gmail.com,2297,537,0.23378319547235524,6.647463872470166,47.143080249962786
p_adic_prefix,2,mobile|debit,23294,1622,0.06963166480638791,1.9799283487642745,43.97521739288932
p_adic_prefix,4,desktop|credit|mastercard|C,4625,693,0.14983783783783783,4.260535543384903,43.7054520293683
p_adic_prefix,5,mobile|credit|visa|C|gmail.com,1767,432,0.24448217317487267,6.951681922044471,43.09446613865618
p_adic_prefix,5,desktop|credit|mastercard|C|gmail.com,1692,413,0.24408983451536642,6.940526042942162,42.10759967439081
p_adic_prefix,2,__MISSING__|credit,53029,2386,0.04499424843010428,1.279380411854426,40.24497390415309
p_adic_prefix,5,mobile|credit|mastercard|C|gmail.com,1196,333,0.27842809364548493,7.91691075078988,39.92633277276231
p_adic_prefix,2,desktop|debit,27690,1551,0.05601300108342362,1.5926910415369027,37.5197900525574
p_adic_prefix,3,desktop|credit|visa,21460,1340,0.06244175209692451,1.775488141307089,37.36839058193011
p_adic_prefix,3,mobile|debit|visa,15943,1105,0.06930941479019005,1.970765391879157,36.19404149605571
p_adic_prefix,5,mobile|credit|visa|C|anonymous.com,409,186,0.4547677261613692,12.931006541830683,35.92456683417798
p_adic_prefix,4,mobile|debit|visa|C,7898,743,0.09407444922765257,2.6749420603128744,35.47733982348991
p_adic_prefix,3,desktop|credit|mastercard,10583,866,0.08182934895587263,2.326761082176415,35.37228523048917
p_adic_prefix,5,mobile|debit|visa|C|gmail.com,3562,477,0.1339135317237507,3.8077388854657186,34.29427287435969
p_adic_prefix,3,desktop|debit|visa,19388,1081,0.05575613781720652,1.5853873117761177,31.23053716095025
p_adic_prefix,4,desktop|debit|visa|C,8368,666,0.07958891013384321,2.2630557499867825,30.520983886088487
p_adic_prefix,5,desktop|debit|visa|C|gmail.com,3310,403,0.12175226586102719,3.461941680912072,30.02363978558347
p_adic_prefix,3,__MISSING__|credit|visa,30410,1341,0.04409733640249918,1.2538773371435072,29.759045285134327
p_adic_prefix,4,__MISSING__|credit|visa|W,28042,1200,0.04279295342700235,1.2167881071500468,27.5763047897017
p_adic_prefix,5,mobile|credit|mastercard|C|hotmail.com,1085,201,0.18525345622119815,5.267554218311078,26.021090376900105
p_adic_prefix,5,mobile|credit|visa|C|hotmail.com,1277,207,0.1620986687548943,4.609163811566976,24.80981945099178
p_adic_prefix,3,mobile|debit|mastercard,7291,511,0.07008640790015087,1.992858654900851,24.780595458544198
p_adic_prefix,4,mobile|debit|mastercard|C,4940,395,0.07995951417004049,2.2735936200703675,23.56906475822703
flat_tuple,5,desktop|credit|visa|C|gmail.com,2297,537,0.23378319547235524,6.647463872470166,97.50150288197423
flat_tuple,5,mobile|debit|visa|C|gmail.com,3562,477,0.1339135317237507,3.8077388854657186,93.71505560180623
flat_tuple,5,mobile|credit|visa|C|gmail.com,1767,432,0.24448217317487267,6.951681922044471,87.15612364282849
flat_tuple,5,desktop|debit|visa|C|gmail.com,3310,403,0.12175226586102719,3.461941680912072,86.0448367045484
flat_tuple,5,desktop|credit|mastercard|C|gmail.com,1692,413,0.24408983451536642,6.940526042942162,85.22865578835287
flat_tuple,5,__MISSING__|credit|visa|W|gmail.com,8019,400,0.04988153136301284,1.4183469302365885,79.07919343975755
flat_tuple,5,mobile|credit|mastercard|C|gmail.com,1196,333,0.27842809364548493,7.91691075078988,75.66636921445878
flat_tuple,5,__MISSING__|credit|mastercard|W|gmail.com,5581,316,0.05662067729797527,1.6099698954520858,71.6684430390686
flat_tuple,5,__MISSING__|credit|visa|W|yahoo.com,4998,277,0.05542216886754702,1.575891135103099,66.8927461356674
flat_tuple,5,mobile|debit|mastercard|C|gmail.com,2022,229,0.1132542037586548,3.2203051479808233,64.74781988785071
flat_tuple,5,mobile|credit|visa|C|hotmail.com,1277,207,0.1620986687548943,4.609163811566976,61.621728996712456
flat_tuple,5,mobile|credit|mastercard|C|hotmail.com,1085,201,0.18525345622119815,5.267554218311078,60.4564067967271
flat_tuple,5,desktop|credit|visa|C|hotmail.com,1763,198,0.11230856494611458,3.1934165607576666,60.190595934823904
flat_tuple,5,mobile|credit|visa|R|gmail.com,1324,175,0.13217522658610273,3.7583113781613684,56.75952609953276
flat_tuple,5,desktop|debit|mastercard|C|gmail.com,1840,178,0.0967391304347826,2.7507104320311986,56.7051347681711
flat_tuple,5,desktop|credit|mastercard|C|hotmail.com,1510,163,0.10794701986754966,3.069399035548765,54.53802993791981
flat_tuple,5,mobile|credit|visa|C|anonymous.com,409,186,0.4547677261613692,12.931006541830683,53.27172036242856
flat_tuple,5,mobile|debit|visa|C|hotmail.com,2778,161,0.057955363570914326,1.6479207788015837,51.32448692135586
flat_tuple,5,desktop|debit|visa|C|hotmail.com,3010,158,0.05249169435215947,1.49256511403955,50.10748168919467
flat_tuple,5,mobile|debit|visa|H|gmail.com,2403,148,0.06158967956720766,1.7512600467831316,49.61154123884675
flat_tuple,5,__MISSING__|credit|mastercard|W|yahoo.com,3475,150,0.04316546762589928,1.2273802913921443,47.208004588245416
flat_tuple,5,desktop|debit|visa|S|__MISSING__,1926,123,0.06386292834890965,1.815898307539935,45.434580394474324
flat_tuple,5,mobile|credit|visa|H|gmail.com,1380,115,0.08333333333333333,2.3695258403265007,45.12677820785945
flat_tuple,5,desktop|credit|visa|R|gmail.com,2511,120,0.04778972520908005,1.3588678654202155,43.00338567896014
flat_tuple,5,mobile|debit|mastercard|C|hotmail.com,1880,103,0.054787234042553194,1.5578372014061463,40.72109648046473
flat_tuple,5,desktop|debit|mastercard|C|hotmail.com,1908,100,0.05241090146750524,1.4902678241047174,39.85380832804542
flat_tuple,5,mobile|credit|mastercard|R|gmail.com,406,88,0.21674876847290642,6.163101693065973,39.67310385211276
flat_tuple,5,mobile|credit|mastercard|H|gmail.com,631,85,0.1347068145800317,3.830295336185469,39.56122780430716
flat_tuple,5,__MISSING__|credit|discover|W|gmail.com,844,84,0.0995260663507109,2.8299550320487117,39.012134887166084
flat_tuple,5,__MISSING__|credit|visa|W|hotmail.com,1665,92,0.05525525525525526,1.5711450616939682,38.5337010689765
flat_tuple,5,desktop|credit|visa|C|gmail.com,2297,537,0.23378319547235524,6.647463872470166,97.50150288197423
flat_tuple,5,mobile|debit|visa|C|gmail.com,3562,477,0.1339135317237507,3.8077388854657186,93.71505560180623
flat_tuple,5,mobile|credit|visa|C|gmail.com,1767,432,0.24448217317487267,6.951681922044471,87.15612364282849
flat_tuple,5,desktop|debit|visa|C|gmail.com,3310,403,0.12175226586102719,3.461941680912072,86.0448367045484
flat_tuple,5,desktop|credit|mastercard|C|gmail.com,1692,413,0.24408983451536642,6.940526042942162,85.22865578835287
flat_tuple,5,__MISSING__|credit|visa|W|gmail.com,8019,400,0.04988153136301284,1.4183469302365885,79.07919343975755
flat_tuple,5,mobile|credit|mastercard|C|gmail.com,1196,333,0.27842809364548493,7.91691075078988,75.66636921445878
flat_tuple,5,__MISSING__|credit|mastercard|W|gmail.com,5581,316,0.05662067729797527,1.6099698954520858,71.6684430390686
flat_tuple,5,__MISSING__|credit|visa|W|yahoo.com,4998,277,0.05542216886754702,1.575891135103099,66.8927461356674
flat_tuple,5,mobile|debit|mastercard|C|gmail.com,2022,229,0.1132542037586548,3.2203051479808233,64.74781988785071
flat_tuple,5,mobile|credit|visa|C|hotmail.com,1277,207,0.1620986687548943,4.609163811566976,61.621728996712456
flat_tuple,5,mobile|credit|mastercard|C|hotmail.com,1085,201,0.18525345622119815,5.267554218311078,60.4564067967271
flat_tuple,5,desktop|credit|visa|C|hotmail.com,1763,198,0.11230856494611458,3.1934165607576666,60.190595934823904
flat_tuple,5,mobile|credit|visa|R|gmail.com,1324,175,0.13217522658610273,3.7583113781613684,56.75952609953276
flat_tuple,5,desktop|debit|mastercard|C|gmail.com,1840,178,0.0967391304347826,2.7507104320311986,56.7051347681711
flat_tuple,5,desktop|credit|mastercard|C|hotmail.com,1510,163,0.10794701986754966,3.069399035548765,54.53802993791981
flat_tuple,5,mobile|credit|visa|C|anonymous.com,409,186,0.4547677261613692,12.931006541830683,53.27172036242856
flat_tuple,5,mobile|debit|visa|C|hotmail.com,2778,161,0.057955363570914326,1.6479207788015837,51.32448692135586
flat_tuple,5,desktop|debit|visa|C|hotmail.com,3010,158,0.05249169435215947,1.49256511403955,50.10748168919467
flat_tuple,5,mobile|debit|visa|H|gmail.com,2403,148,0.06158967956720766,1.7512600467831316,49.61154123884675
flat_tuple,5,__MISSING__|credit|mastercard|W|yahoo.com,3475,150,0.04316546762589928,1.2273802913921443,47.208004588245416
flat_tuple,5,desktop|debit|visa|S|__MISSING__,1926,123,0.06386292834890965,1.815898307539935,45.434580394474324
flat_tuple,5,mobile|credit|visa|H|gmail.com,1380,115,0.08333333333333333,2.3695258403265007,45.12677820785945
flat_tuple,5,desktop|credit|visa|R|gmail.com,2511,120,0.04778972520908005,1.3588678654202155,43.00338567896014
flat_tuple,5,mobile|debit|mastercard|C|hotmail.com,1880,103,0.054787234042553194,1.5578372014061463,40.72109648046473
flat_tuple,5,desktop|debit|mastercard|C|hotmail.com,1908,100,0.05241090146750524,1.4902678241047174,39.85380832804542
flat_tuple,5,mobile|credit|mastercard|R|gmail.com,406,88,0.21674876847290642,6.163101693065973,39.67310385211276
flat_tuple,5,mobile|credit|mastercard|H|gmail.com,631,85,0.1347068145800317,3.830295336185469,39.56122780430716
flat_tuple,5,__MISSING__|credit|discover|W|gmail.com,844,84,0.0995260663507109,2.8299550320487117,39.012134887166084
flat_tuple,5,__MISSING__|credit|visa|W|hotmail.com,1665,92,0.05525525525525526,1.5711450616939682,38.5337010689765
flat_tuple,5,__MISSING__|credit|visa|W|aol.com,2436,101,0.04146141215106732,1.1789266496205741,38.43993532205609
flat_tuple,5,mobile|debit|visa|R|gmail.com,1281,84,0.06557377049180328,1.8645449235356073,37.666851827061095
flat_tuple,5,__MISSING__|credit|visa|C|gmail.com,473,58,0.1226215644820296,3.4866595874571766,32.646952119023496
flat_tuple,5,__MISSING__|credit|mastercard|W|aol.com,1490,68,0.04563758389261745,1.2976732118835064,32.111653837097435
flat_tuple,5,__MISSING__|credit|discover|W|yahoo.com,516,56,0.10852713178294573,3.0858941176345125,31.97317584648971
flat_tuple,5,mobile|debit|visa|S|__MISSING__,573,54,0.09424083769633508,2.679673201625781,31.186241866344854
flat_tuple,5,desktop|debit|visa|H|hotmail.com,394,47,0.11928934010152284,3.391910086152656,29.372481332149512
flat_tuple,5,mobile|credit|visa|S|__MISSING__,236,46,0.19491525423728814,5.542280779068765,28.85477470390618
flat_tuple,5,desktop|credit|visa|C|__MISSING__,232,44,0.1896551724137931,5.392713981432726,28.256938537518224
flat_tuple,5,mobile|credit|mastercard|R|yahoo.com,229,42,0.18340611353711792,5.215026303600683,27.647072221822878
flat_tuple,5,desktop|credit|visa|H|hotmail.com,512,43,0.083984375,2.3880377609540515,27.611126459403327
flat_tuple,5,desktop|credit|mastercard|C|__MISSING__,213,42,0.19718309859154928,5.606765368659889,27.555827362569655
flat_tuple,5,desktop|debit|mastercard|H|gmail.com,603,43,0.07131011608623548,2.0276539529162094,27.202907874935335
flat_tuple,5,mobile|debit|visa|C|__MISSING__,242,40,0.1652892561983471,4.699885964283968,27.074988334849092
flat_tuple,5,__MISSING__|credit|mastercard|W|hotmail.com,869,46,0.05293440736478711,1.50515335311879,27.07186000995902
flat_tuple,5,mobile|debit|mastercard|H|gmail.com,697,42,0.06025824964131994,1.7134017554154324,26.353318255141925
flat_tuple,5,__MISSING__|credit|visa|C|hotmail.com,584,40,0.0684931506849315,1.9475554851998635,26.12296970416714
flat_tuple,5,mobile|credit|visa|R|yahoo.com,545,39,0.07155963302752294,2.0347487949959677,25.916214321251015
flat_tuple,5,desktop|debit|visa|C|outlook.com,299,36,0.12040133779264214,3.423528973314543,25.711557934814863
flat_tuple,5,__MISSING__|credit|visa|W|icloud.com,299,35,0.11705685618729098,3.328430946278028,25.335764776062156
flat_tuple,5,__MISSING__|credit|mastercard|C|gmail.com,314,35,0.11146496815286625,3.1694294679526442,25.300312029018425
flat_tuple,5,desktop|credit|mastercard|R|gmail.com,753,40,0.05312084993359894,1.5104547189332276,25.25830762939053
flat_tuple,5,mobile|debit|mastercard|R|gmail.com,301,34,0.11295681063122924,3.211848979578779,24.946662794208798
flat_tuple,5,desktop|credit|mastercard|H|gmail.com,919,39,0.042437431991294884,1.206679100405661,23.993990539364482
flat_tuple,5,mobile|credit|american express|R|gmail.com,375,28,0.07466666666666667,2.123095152932545,22.05324250987652
flat_tuple,5,__MISSING__|debit|visa|C|gmail.com,712,32,0.0449438202247191,1.2779465206255285,21.96770064232943
flat_tuple,5,__MISSING__|debit|mastercard|W|live.com,390,28,0.07179487179487179,2.0414376470505236,21.966763611617967
flat_tuple,5,mobile|debit|visa|C|outlook.com,261,24,0.09195402298850575,2.6146492031188973,20.75972651121238
flat_tuple,5,desktop|debit|visa|H|anonymous.com,511,27,0.05283757338551859,1.502399945725609,20.734725426078207
