method,family,auprc,roc_auc,best_proposed_method,best_control_method,best_proposed_auprc,best_control_auprc,delta_best_proposed_vs_best_control_auprc,bootstrap_delta_lower,bootstrap_delta_upper,bootstrap_p_delta_le_zero,claim_status
p_adic_tree_scan_llr,proposed,0.5096945043703719,0.8246527777777778,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
p_adic_conditional_tree_scan_llr,proposed,0.5242223770049567,0.8344907407407407,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
flat_tuple_scan_llr,flat_control,0.36134798459787215,0.6594328703703702,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
marginal_column_scan_llr,marginal_control,0.47882334807848415,0.8234953703703705,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
reversed_hierarchy_tree_scan_llr,hierarchy_order_control,0.453795355819931,0.7974537037037037,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
category_entropy_temporal,entropy_control,0.540128701727342,0.7199074074074074,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
transaction_count_signal,count_control,0.22605721393034825,0.4236111111111111,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_11,hierarchy_order_control,0.48362129953169336,0.7997685185185185,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_17,hierarchy_order_control,0.4990775072301797,0.8177083333333334,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_23,hierarchy_order_control,0.47043873527603774,0.8159722222222222,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_31,hierarchy_order_control,0.4607902184693764,0.798611111111111,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_47,hierarchy_order_control,0.47043873527603774,0.8159722222222222,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.5242223770049567,0.540128701727342,-0.01590632472238529,-0.18595312295526295,0.15635267802159855,0.506,diagnostic_only_failed_q1_tree_scan_gate
