method,family,auprc,roc_auc,best_proposed_method,best_control_method,best_proposed_auprc,best_control_auprc,delta_best_proposed_vs_best_control_auprc,bootstrap_delta_lower,bootstrap_delta_upper,bootstrap_p_delta_le_zero,claim_status
p_adic_tree_scan_llr,proposed,0.1959548350748852,0.33940972222222215,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
p_adic_conditional_tree_scan_llr,proposed,0.21525255069549562,0.4021990740740741,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
flat_tuple_scan_llr,flat_control,0.21469371398942816,0.4053819444444445,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
marginal_column_scan_llr,marginal_control,0.1958657208318923,0.3359375,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
reversed_hierarchy_tree_scan_llr,hierarchy_order_control,0.19513307381935605,0.3208912037037037,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
category_entropy_temporal,entropy_control,0.24907751506543038,0.39467592592592593,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
transaction_count_signal,count_control,0.23551829268292684,0.45833333333333326,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_11,hierarchy_order_control,0.20520719956784117,0.3758680555555556,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_17,hierarchy_order_control,0.1946646134464562,0.3275462962962963,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_23,hierarchy_order_control,0.19375848888760527,0.31105324074074076,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_31,hierarchy_order_control,0.18904047045518768,0.3214699074074074,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
random_hierarchy_tree_scan_llr_seed_47,hierarchy_order_control,0.19324170145241912,0.31221064814814814,p_adic_conditional_tree_scan_llr,category_entropy_temporal,0.21525255069549562,0.24907751506543038,-0.03382496436993476,-0.14159385430467925,0.03964955786516111,0.82,diagnostic_only_failed_q1_tree_scan_gate
