block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_multiresolution_energy,flat_tuple_rarity,category_entropy_temporal,transaction_count_signal,p_adic_multiresolution_energy_ewma,p_adic_multiresolution_energy_cusum,flat_tuple_rarity_ewma,flat_tuple_rarity_cusum,reversed_hierarchy_energy_cusum,random_hierarchy_energy_cusum_seed_11,random_hierarchy_energy_cusum_seed_17,random_hierarchy_energy_cusum_seed_23,isolation_forest_block_context,high_risk_block
0,10438003.0,10481795.0,1846,102,0.0552546045503792,0.7596271797457842,0.9368684963751325,6.324508961508306,1846.0,0.7596271797457842,0.0021690454545905125,0.9368684963751325,0.0,0.0,0.0,0.0,0.0030694047174408823,0.4659534107192744,1
1,10481895.0,10531767.0,1845,62,0.03360433604336043,0.7522721241192956,0.935853227748003,6.319750082038212,1845.0,0.7577884158391621,0.0,0.9366146792183501,0.0,0.0,0.0,0.0,0.0,0.45923551410827584,0
2,10531790.0,10603792.0,1846,62,0.03358613217768147,0.7643598739522659,0.9403672369807435,6.656827630693032,1846.0,0.7594312803674381,0.006901739661072215,0.9375528186589485,0.0019625850348158336,0.0024653164454998544,0.0006283349311091424,0.0028658403842648505,0.003349342937701727,0.42863717286812875,0
3,10603807.0,10643514.0,1845,41,0.022222222222222223,0.7542686711970586,0.938986022880989,6.3163263324718155,1845.0,0.7581406280748433,0.0037122765669371782,0.9379111197144586,0.0025439559698771097,0.0034125496331968153,0.0,0.004213100894613353,0.00088377399825601,0.4150234677432724,0
4,10643603.0,10699805.0,1846,69,0.03737811484290358,0.7501468004051765,0.9363813048088644,6.1236452680060225,1846.0,0.7561421711574265,0.0,0.9375286659880601,0.0005206088328137959,0.0005983320642185541,0.0,0.0013806932646568404,0.0,0.5127619112083223,0
5,10699806.0,10745374.0,1845,59,0.03197831978319783,0.7586797640891195,0.9380719846362038,6.416188057120758,1845.0,0.7567765693903498,0.0012216297979258384,0.9376644956500959,0.000187941523089874,0.0,0.0,0.0009778330771950117,0.001256066893901786,0.39946882245296333,0
6,10745780.0,10780843.0,1846,40,0.021668472372697724,0.7396647014333624,0.935681289933657,5.661315551637612,1846.0,0.7524986024011029,0.0,0.9371686942209861,0.0,0.0,0.0,0.0,0.0,0.6599336747751376,0
7,10780902.0,10809110.0,1845,39,0.02113821138211382,0.7469698041212017,0.9371576501393336,6.032889380058455,1845.0,0.7511164028311276,0.0,0.937165933200573,0.0,0.0,0.0,0.0,0.0,0.5236488624968328,0
8,10809162.0,10868661.0,1845,101,0.054742547425474256,0.7583863670769893,0.9407758842105521,6.459428298152025,1845.0,0.7529338938925929,0.0009282327857955686,0.9380684209530677,0.0023712322646244344,0.0016514289235332047,0.003566444760765175,0.0017069227721000502,0.0025477464593117727,0.4033021285850429,1
9,10868665.0,10903571.0,1846,77,0.04171180931744312,0.7581673250947067,0.938831892010123,6.315221582304073,1846.0,0.7542422516931213,0.0016374235893086286,0.9382592887173316,0.00279847232881969,0.0016137388168788735,0.0034811893336454958,0.0018199007473976847,0.00421363985995038,0.42959182049817296,1
10,10903718.0,10963882.0,1845,53,0.02872628726287263,0.757429763839978,0.9381977952865479,6.347924704912645,1845.0,0.7550391297298356,0.0016090531380928974,0.9382439153596357,0.002591615669439884,0.0010625362065247446,0.0029515030107450935,0.0014097963357869725,0.005281257269317163,0.3984632052818052,0
11,10963909.0,11027943.0,1846,53,0.028710725893824486,0.7589985851529927,0.9382473745910811,6.519213405567564,1846.0,0.7560289935856248,0.0031495039998918894,0.9382447801674971,0.002434338314593276,0.0011002263131789647,0.00293014994634222,0.0017810441495207385,0.006377863043893761,0.4209896866632795,0
12,11027962.0,11056484.0,1845,35,0.018970189701897018,0.7545820580677641,0.9384100354442517,6.407621174425747,1845.0,0.7556672597061596,0.00027342777646233163,0.9382860939866858,0.002439721812917295,0.0012071311303538668,0.003700824190314256,0.0016399626323979621,0.00260019715337112,0.4094285352217884,0
13,11056485.0,11128968.0,1846,58,0.0314192849404117,0.7574865047424094,0.9379844275919125,6.331469969302199,1846.0,0.756122070965222,0.00030179822767806286,0.9382106773879926,0.0020194974589020642,0.0,0.004471867939074836,0.0006722974431323525,0.001323588627422434,0.43414844131211516,0
14,11128972.0,11205154.0,1845,77,0.04173441734417344,0.7604969168492876,0.9373292412494879,6.450474715798766,1845.0,0.7572157824362383,0.0033405807857719294,0.9379903183533664,0.0009440867624622706,0.0,0.003577788199566112,0.0,0.0013546928314207562,0.42754047698197223,1
15,11205161.0,11246605.0,1845,97,0.05257452574525745,0.7563638505595768,0.9383992684476036,6.353762486721658,1845.0,0.7570027994670729,0.002246297054155022,0.9380925558769257,0.000938703264138141,0.00011091146807928887,0.0035991412639690967,0.0005292703624064643,0.0,0.39405485182341016,1
