method,family,auprc,roc_auc,top_fraction,selected_blocks,precision_at_top_fraction,recall_at_top_fraction,best_proposed_method,best_control_method,best_proposed_auprc,best_control_auprc,delta_best_proposed_vs_best_control_auprc,bootstrap_delta_lower,bootstrap_delta_upper,bootstrap_p_delta_le_zero,claim_status,claim_scope
p_adic_multiresolution_energy,proposed,0.29338579784564245,0.563943661971831,0.1,10,0.2,0.08,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
p_adic_multiresolution_energy_ewma,proposed,0.2789621906534742,0.5532394366197183,0.1,10,0.0,0.0,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
p_adic_multiresolution_energy_cusum,proposed,0.3831146883911637,0.5898591549295775,0.1,10,0.5,0.2,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
flat_tuple_rarity,flat_control,0.254849539253607,0.4783098591549296,0.1,10,0.2,0.08,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
flat_tuple_rarity_ewma,flat_control,0.2527776132940799,0.48507042253521127,0.1,10,0.1,0.04,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
flat_tuple_rarity_cusum,flat_control,0.3697273146756033,0.5230985915492958,0.1,10,0.4,0.16,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
category_entropy_temporal,entropy_control,0.2715631508920904,0.5228169014084507,0.1,10,0.1,0.04,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
transaction_count_signal,count_control,0.28595238095238096,0.555774647887324,0.1,10,0.3,0.12,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
reversed_hierarchy_energy_cusum,hierarchy_order_control,0.37013511745413025,0.5245070422535212,0.1,10,0.4,0.16,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
isolation_forest_block_context,unsupervised_context,0.2504332020279667,0.48676056338028173,0.1,10,0.1,0.04,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
random_hierarchy_energy_cusum_seed_11,hierarchy_order_control,0.3543147395770332,0.5250704225352114,0.1,10,0.4,0.16,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
random_hierarchy_energy_cusum_seed_17,hierarchy_order_control,0.35074441214507796,0.5166197183098592,0.1,10,0.4,0.16,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
random_hierarchy_energy_cusum_seed_23,hierarchy_order_control,0.38723355379151125,0.6225352112676057,0.1,10,0.4,0.16,p_adic_multiresolution_energy_cusum,random_hierarchy_energy_cusum_seed_23,0.3831146883911637,0.38723355379151125,-0.00411886540034756,-0.10318856711482381,0.1104164634831948,0.462,diagnostic_only_failed_q1_multiresolution_gate,official_ieee_cis_preregistered_multiresolution_surveillance
