method,family,auprc,roc_auc,top_fraction,selected_blocks,precision_at_top_fraction,recall_at_top_fraction,best_proposed_method,best_control_method,best_proposed_auprc,best_control_auprc,delta_best_proposed_vs_best_control_auprc,bootstrap_delta_lower,bootstrap_delta_upper,bootstrap_p_delta_le_zero,claim_status,claim_scope
p_adic_multiresolution_temporal,proposed_temporal_signal,0.2981412062520242,0.5780281690140845,0.1,10,0.2,0.08,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
p_adic_weighted_depth_temporal,proposed_temporal_signal,0.29338579784564245,0.563943661971831,0.1,10,0.2,0.08,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
p_adic_ewma_temporal,proposed_temporal_signal,0.2789621906534742,0.5532394366197183,0.1,10,0.0,0.0,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
p_adic_cusum_temporal,proposed_temporal_signal,0.3831146883911637,0.5898591549295775,0.1,10,0.5,0.2,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
flat_tuple_rarity_temporal,flat_control,0.254849539253607,0.4783098591549296,0.1,10,0.2,0.08,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
flat_ewma_temporal,flat_control,0.2527776132940799,0.48507042253521127,0.1,10,0.1,0.04,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
flat_cusum_temporal,flat_control,0.3697273146756033,0.5230985915492958,0.1,10,0.4,0.16,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
category_entropy_temporal,entropy_control,0.2715631508920904,0.5228169014084507,0.1,10,0.1,0.04,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
transaction_count_signal,count_control,0.28595238095238096,0.555774647887324,0.1,10,0.3,0.12,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
isolation_forest_block_features,unsupervised_block_context,0.2539273089968489,0.5019718309859156,0.1,10,0.1,0.04,p_adic_cusum_temporal,flat_cusum_temporal,0.3831146883911637,0.3697273146756033,0.013387373715560369,-0.02899227063663562,0.07178348724312435,0.194,diagnostic_only_failed_q1_temporal_gate,official_ieee_cis_block_temporal_surveillance
