block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
0,10438003.0,10481795.0,1846,102,0.0552546045503792,32.18643879815863,2,61,1312,1147.9712195042455,True,19.95782718101927,2,61,0,1312,1479,1225.0751301176695,True,20.33397457098016,32.46458950692113,20.33397457098016,32.46458950692113,20.33397457098016,23.268410226610456,20.33397457098016,20.33397457098016,6.324508961508306,1846.0
1,10481895.0,10531767.0,1845,62,0.03360433604336043,43.36973289585757,2,61,1337,1147.3493499378833,True,12.51118799509085,4,680945,2,12,13,3.507001647446458,True,14.40021557215787,42.22000104423768,14.82518885750747,19.313377356485518,14.589058588805287,14.914160619509943,14.453027738459577,42.22000104423768,6.319750082038212,1845.0
2,10531790.0,10603792.0,1846,62,0.03358613217768147,14.279247515647029,2,61,1258,1147.9712195042455,True,14.54102624744882,2,61,0,1258,1430,1184.4877863882807,True,7.673985108564153,22.703912315751168,12.828305933018111,22.703912315751168,15.60468820519462,12.933716004007323,13.717558815994174,14.92986411933924,6.656827630693032,1846.0
3,10603807.0,10643514.0,1845,41,0.022222222222222223,41.97130916839129,2,61,1334,1147.3493499378833,True,17.61878321948845,4,461466,7504,74,95,45.8052289343351,True,14.69352137492763,42.960745395642505,14.69352137492763,42.960745395642505,14.69352137492763,19.104831941405195,14.69352137492763,27.100595845466145,6.3163263324718155,1845.0
4,10643603.0,10699805.0,1846,69,0.03737811484290358,71.2752267906811,1,0,1594,1385.920918559229,True,15.205812150494678,4,461406,7444,34,58,14.222934526028078,True,9.105529587100673,73.65692070208257,15.01165621336456,9.105529587100673,14.50355508856093,18.85802358553771,9.105529587100673,71.2752267906811,6.1236452680060225,1846.0
5,10699806.0,10745374.0,1845,59,0.03197831978319783,27.434011878361673,2,61,1299,1147.3493499378833,True,16.23681908270713,4,457746,3784,32,32,19.26587327114828,True,7.834511373155547,30.084008321940743,11.615881910195686,18.616897672800008,14.694395164263302,15.217564309868578,12.465570382181753,23.788467491445317,6.416188057120758,1845.0
6,10745780.0,10780843.0,1846,40,0.021668472372697724,143.41575544912388,1,0,1671,1385.920918559229,True,38.606600395205845,3,3782,61,626,1471,465.2821646356828,True,58.057272755012235,150.09799254959265,58.057272755012235,58.057272755012235,58.057272755012235,105.61613687433746,66.90461929381837,143.41575544912388,5.661315551637612,1846.0
7,10780902.0,10809110.0,1845,39,0.02113821138211382,86.90040679371916,1,0,1613,1385.1701488308654,True,24.948824013234727,3,3782,61,572,1410,445.9876629070787,True,29.447926478848302,88.10874859573357,29.447926478848302,40.81312551832201,29.447926478848302,66.91750686162084,43.22927369672317,86.90040679371916,6.032889380058455,1845.0
8,10809162.0,10868661.0,1845,101,0.054742547425474256,36.93621060551473,1,0,1538,1385.1701488308654,True,16.82715815638994,5,166157595,7503,12,828,1.2083208476668785,True,17.571128804132854,45.98771028432648,17.571128804132854,17.571128804132854,17.571128804132854,19.74330331117389,17.571128804132854,36.93621060551473,6.459428298152025,1845.0
9,10868665.0,10903571.0,1846,77,0.04171180931744312,35.03479881951401,1,0,1535,1385.920918559229,True,17.686302695264708,4,457685,3723,31,35,14.16096507021966,True,18.011100133316347,41.25264426187141,18.011100133316347,18.011100133316347,18.011100133316347,23.268410226610456,18.011100133316347,35.03479881951401,6.315221582304073,1846.0
10,10903718.0,10963882.0,1845,53,0.02872628726287263,35.926674771517966,1,0,1536,1385.1701488308654,True,10.771675155148436,5,138462131,3721,10,73,1.5396712141103943,True,15.013281918018379,37.076192638464704,15.013281918018379,17.59777621823865,15.013281918018379,22.978922898753808,15.013281918018379,35.926674771517966,6.347924704912645,1845.0
11,10963909.0,11027943.0,1846,53,0.028710725893824486,24.33317912279547,2,61,1291,1147.9712195042455,True,11.741443232034886,4,461405,7443,29,39,14.129187130953039,True,9.611822364525736,23.20029013668632,9.611822364525736,17.01033645714358,9.611822364525736,9.611822364525736,9.611822364525736,17.255045534558377,6.519213405567564,1846.0
12,11027962.0,11056484.0,1845,35,0.018970189701897018,37.961376628603574,1,0,1540,1385.1701488308654,True,15.442747709451826,5,388144953,461405,7,24,0.3456116416552979,True,17.474837282234045,37.961376628603574,17.474837282234045,17.474837282234045,17.474837282234045,17.474837282234045,17.474837282234045,37.961376628603574,6.407621174425747,1845.0
13,11056485.0,11128968.0,1846,58,0.0314192849404117,33.0905449007593,1,0,1531,1385.920918559229,True,10.866033041501293,4,461405,7443,29,40,14.491473980464654,True,5.807389624049093,39.700465390447874,8.739972049127857,9.113100510438954,7.58045237182192,11.004597906713826,5.807389624049093,33.0905449007593,6.331469969302199,1846.0
14,11128972.0,11205154.0,1845,77,0.04173441734417344,22.231554091625227,5,83536451,26,4.941974590425432,True,16.540352396716706,4,461405,7443,42,57,20.650350422162134,True,22.231554091625227,20.170178621598623,22.231554091625227,22.231554091625227,25.539233278026238,22.231554091625227,22.231554091625227,22.231554091625227,6.450474715798766,1845.0
15,11205161.0,11246605.0,1845,97,0.05257452574525745,28.177697957471366,2,61,1301,1147.3493499378833,True,21.64147153635953,4,461466,7504,60,70,33.751221320036386,True,7.759154900654309,29.646177001282567,13.323870904220279,17.59777621823865,7.759154900654309,12.001509101615625,9.85072419145779,21.836931649133632,6.353762486721658,1845.0
